"Land Rover Defender, 2.5 l., visureigis",Equipment: Stereo USB radio + 4 speakers Cuby box Sunroof Soft Floor Cushion,Land rover,Defender,13499,2000,SUV,https://autoplius-img.dgn.lt/ann_25_216831720/land-rover-defender-2-5-l-visureigis-2000-dyzelinas-0.jpg,SALLDHM88YA192561,202300,red
"Volvo S40, 1.6 l., sedanas","Tik praeita TA. Prieš TA pakeista: 3 guoliai, priekiniai stabdžiu diskai, galiniai amortizatoriai, priekinės traukės ir papildomos smulkmenos važiuoklėje. Tikra rida. Lietuvoje nuo 2018m. Ekonomiškas ir patvarus 1,6l dyzelis. M+S padangos. 2 rakteliai. Kėbulo visi pabraižymai matomi paskutinėse nuotraukose. Keitimai nedomina.",Volvo,S40,2400,2005,saloon,https://autoplius-img.dgn.lt/ann_25_216847636/volvo-s40-1-6-l-sedanas-2005-dyzelinas-0.jpg,,233000,silver
"Volvo S40, 2.4 l., sedanas","Iš Vokietijos,originali dujų įranga,vebasta.Puikiai dirba tiek dujomis tiek benzinu",Volvo,S40,2900,2008,saloon,https://autoplius-img.dgn.lt/ann_25_207599750/volvo-s40-2-4-l-sedanas-2008-benzinas-dujos-0.jpg,,250000,blue
"Volkswagen Golf, 2.0 l., hečbekas",Automobilis geros bukles.tikra rida servizo istorija,Volkswagen,Golf,3750,2005,hatchback,https://autoplius-img.dgn.lt/ann_25_216724598/volkswagen-golf-2-0-l-hecbekas-2005-dyzelinas-0.jpg,,254000,gray
"Jaguar F-Pace, 3.0 l., visureigis","Lyginamos 2018 metais pagamintų Jaguar F-Pace automobilių kainos ir jų kitimas, neatsižvelgiant į automobilių komplektaciją ir būklę.",Jaguar,F-Pace,35000,2018,SUV,https://autoplius-img.dgn.lt/ann_25_177254369/jaguar-f-pace-3-0-l-visureigis-2018-benzinas-0.jpg,SADCM2FV6JA245367,26200,green
"Jaguar F-Pace, 3.0 l., visureigis",TEXNISKAI TVARKINGAS AUTOMOBILIS. SPALVA BURGUNDI METALIK. .NAUJOS MS PADANGOS.,Jaguar,F-Pace,25500,2017,SUV,https://autoplius-img.dgn.lt/ann_25_197161087/jaguar-f-pace-3-0-l-visureigis-2017-benzinas-0.jpg,SADCJ2BVXHA067214,95000,red
Peugeot Partner Benzinas 2011 m Vienatūris,Užsisakykite automobilį neišeidami iš namų! Pristatymas į bet kurį Lietuvos ar Latvijos tašką kainuoja 100 EUR ir užtrunka iki 2–4 ​​darbo dienų.,Peugeot,Partner,3999,2011,Monovolume,https://img.autogidas.lt/4_15_213084382/peugeot-partner-vienaturis-2011.jpg,VF37J5FS0BJ757952,213000,white
Peugeot 206 Benzinas 2003 m Hečbekas,Užsisakykite automobilį neišeidami iš namų! Pristatymas į bet kurį Lietuvos ar Latvijos tašką kainuoja 100 EUR ir užtrunka iki 2–4 ​​darbo dienų.,Peugeot,206,799,2003,hatchback,https://img.autogidas.lt/4_15_211984885/peugeot-206-hecbekas-2003.jpg,VF32AKFWF42968601,159000,yellow
Bmw X3 E83 sport paket Dyzelinas 2007 m,Sport paket Iš Vokietijos Tikra rida Galiojanti Vokiška Techninė apžiūra iki 2022 m 08 mėn.,BMW,X3,6400,2007,SUV,https://img.autogidas.lt/4_15_212505589/bmw-x3-e83-sport-paket-visureigis-2007.jpg,WBAPD910X0WG35147,250000,silver
Toyota Prius 2007 m nuoma,Nuomojamas auto:Para 10 e,Toyota,Prius,10,2007,hatchback,https://img.autogidas.lt/4_15_189787879/toyota-prius-hecbekas-2007.jpg,,,black
